case,derived_folder,mean,std,snr,err
PT-116_Bv_Bv44u_4,/inst/zenith/AppData/Derived/Images/PT-116_Bv_Bv44u_4/1426728136/1071222615,343.00190476190477,43.394004299956904,7.904361680727524,
PT-119,/inst/zenith/AppData/Derived/Images/PT-119/392773554/1766327727,393.24091710758375,15.189477781166413,25.889034683942008,
PT-120,/inst/zenith/AppData/Derived/Images/PT-120/1896353975/749792168,433.16019436345965,25.67975329705813,16.867770860286356,
PT-121,/inst/zenith/AppData/Derived/Images/PT-121/716211561/1729656376,440.1639668285137,32.139706568933704,13.695332466226589,
PT-124,/inst/zenith/AppData/Derived/Images/PT-124/389681206/838930537,281.8124003887269,18.056941247263378,15.606873640984851,
PT-125,/inst/zenith/AppData/Derived/Images/PT-125/1100815715/492439618,278.25462416371505,19.336248761270053,14.390310530191927,
PT-127,/inst/zenith/AppData/Derived/Images/PT-127/1832738193/1307898896,411.3498904309715,17.463858256754428,23.554353475806263,
PT-129,/inst/zenith/AppData/Derived/Images/PT-129/1491181700/399234979,320.1416520894072,23.475654470407335,13.637176867335802,
PT-130,/inst/zenith/AppData/Derived/Images/PT-130/1356621023/108457344,350.33920310981534,15.946429271226993,21.969758693374157,
PT-131,/inst/zenith/AppData/Derived/Images/PT-131/352813013/1961280246,378.1844238060454,26.19832513030896,14.435442797391737,
PT-133,/inst/zenith/AppData/Derived/Images/PT-133/942671464/72042119,343.5759766763848,20.09095972792412,17.101023611074876,
PT-135,/inst/zenith/AppData/Derived/Images/PT-135/1871311876/2044133093,351.0904718177446,16.166726072832073,21.716856600158923,
PT-136,/inst/zenith/AppData/Derived/Images/PT-136/2142352600/854738105,442.6398833819242,21.16260314866942,20.916135896530992,
PT-138,/inst/zenith/AppData/Derived/Images/PT-138/559569670/513983835,488.7696099260644,21.34444301269206,22.899150361310763,
PT-140,/inst/zenith/AppData/Derived/Images/PT-140/2114846213/965053734,419.0292879752339,17.498763934486867,23.94622211854654,
PT-142,/inst/zenith/AppData/Derived/Images/PT-142/358548442/382769031,338.47850802396255,17.483059451742164,19.360370475102034,
PT-143,/inst/zenith/AppData/Derived/Images/PT-143/1330571847/1588764198,316.1497791227521,21.728791024065714,14.549809916833409,
PT-149,/inst/zenith/AppData/Derived/Images/PT-149/474956565/1831625332,340.11176702085794,18.916695390705872,17.97944936978587,
PT-150,/inst/zenith/AppData/Derived/Images/PT-150/151765200/2063543985,402.35265844110796,20.242507857831313,19.87662108207842,
PT-153,/inst/zenith/AppData/Derived/Images/PT-153/414191240/82692713,422.15720116618076,16.668048264193647,25.327332539170776,
PT-155,/inst/zenith/AppData/Derived/Images/PT-155/409671924/543875115,419.9894952867926,23.65725123409294,17.753097818969657,
PT-156,/inst/zenith/AppData/Derived/Images/PT-156/1298701037/1241187342,423.1988504038452,21.445021569479234,19.734130321703475,
PT-157,/inst/zenith/AppData/Derived/Images/PT-157/1502544417/111668096,407.07203109815356,28.73678499119542,14.165538393486786,
PT-158,/inst/zenith/AppData/Derived/Images/PT-158/332501580/1316966189,425.03819263278723,22.291682131838154,19.06712064702041,
PT-159,/inst/zenith/AppData/Derived/Images/PT-159/781529055/681617854,403.91855754794483,21.12874795553596,19.117013388486836,
PT-161,/inst/zenith/AppData/Derived/Images/PT-161/788006618/854253765,318.27016520894074,21.241836314361734,14.983175677413367,
PT-162,/inst/zenith/AppData/Derived/Images/PT-162/1835229182/1404784991,372.62242164944865,18.04845254624908,20.645671461007826,
PT-165,/inst/zenith/AppData/Derived/Images/PT-165/1939856080/620636945,381.9419301237483,17.553128931359538,21.75919356698794,
